,Roll,Eng,Math,Sci,Total,Avg,Grade
95023,285196,95,88,100,283,94.33333333333333,A+
95338,570419,97,98,93,288,96.0,A+
95703,206483,99,92,93,284,94.66666666666667,A+
95837,462260,91,94,96,281,93.66666666666667,A+
95974,183298,83,98,89,270,90.0,A+
96453,464003,90,92,96,278,92.66666666666667,A+
96850,438103,99,89,92,280,93.33333333333333,A+
97215,974525,92,96,96,284,94.66666666666667,A+
97218,34787,86,90,97,273,91.0,A+
97229,856235,99,76,97,272,90.66666666666667,A+
97538,614630,92,84,99,275,91.66666666666667,A+
97568,4840,88,94,93,275,91.66666666666667,A+
98207,573035,97,97,82,276,92.0,A+
98326,948936,92,96,82,270,90.0,A+
98763,970813,82,93,97,272,90.66666666666667,A+
98942,599693,93,87,91,271,90.33333333333333,A+
98966,169297,98,86,94,278,92.66666666666667,A+
99025,195942,92,99,90,281,93.66666666666667,A+
99362,326705,94,90,94,278,92.66666666666667,A+
99458,101119,85,95,97,277,92.33333333333333,A+
99463,2198,98,98,87,283,94.33333333333333,A+
99724,486179,91,99,99,289,96.33333333333333,A+
99884,959093,84,100,96,280,93.33333333333333,A+
100223,910681,95,100,89,284,94.66666666666667,A+
100623,770650,97,89,96,282,94.0,A+
100628,966221,93,100,86,279,93.0,A+
100809,195893,89,88,97,274,91.33333333333333,A+
100810,572113,93,85,100,278,92.66666666666667,A+
100853,882838,99,77,98,274,91.33333333333333,A+
101290,979862,83,99,100,282,94.0,A+
101378,83223,96,99,97,292,97.33333333333333,A+
102095,533654,97,94,82,273,91.0,A+
102521,654096,94,100,87,281,93.66666666666667,A+
102836,504159,99,96,81,276,92.0,A+
102923,641826,91,85,97,273,91.0,A+
103119,267990,89,96,85,270,90.0,A+
103275,414472,93,95,84,272,90.66666666666667,A+
103473,865883,94,92,100,286,95.33333333333333,A+
103490,368586,98,78,100,276,92.0,A+
103602,797637,97,92,90,279,93.0,A+
103664,937944,94,99,95,288,96.0,A+
103706,409410,100,90,93,283,94.33333333333333,A+
103755,245686,90,98,86,274,91.33333333333333,A+
103935,414081,83,95,93,271,90.33333333333333,A+
103977,1030939,90,98,84,272,90.66666666666667,A+
104069,195551,83,99,99,281,93.66666666666667,A+
104079,209906,92,100,86,278,92.66666666666667,A+
104306,931585,85,100,92,277,92.33333333333333,A+
104345,117603,86,100,100,286,95.33333333333333,A+
104381,173131,81,91,99,271,90.33333333333333,A+
104779,835061,88,99,90,277,92.33333333333333,A+
104799,759527,100,100,73,273,91.0,A+
105194,1024122,80,96,99,275,91.66666666666667,A+
105295,450974,81,91,100,272,90.66666666666667,A+
105297,749421,89,91,93,273,91.0,A+
105408,939961,100,88,84,272,90.66666666666667,A+
105774,426028,92,97,94,283,94.33333333333333,A+
105775,194988,90,90,93,273,91.0,A+
105953,134599,100,87,88,275,91.66666666666667,A+
107177,821091,95,88,92,275,91.66666666666667,A+
107337,772429,81,99,95,275,91.66666666666667,A+
107456,35386,95,89,92,276,92.0,A+
107477,190708,100,96,89,285,95.0,A+
107478,746132,87,85,99,271,90.33333333333333,A+
107623,834755,98,100,81,279,93.0,A+
107791,139802,100,88,93,281,93.66666666666667,A+
107884,324473,95,92,98,285,95.0,A+
107885,92998,96,100,74,270,90.0,A+
107999,220655,98,92,93,283,94.33333333333333,A+
108472,221903,89,90,99,278,92.66666666666667,A+
108582,497478,80,95,95,270,90.0,A+
108757,644932,99,80,100,279,93.0,A+
108803,165182,92,94,86,272,90.66666666666667,A+
108832,215207,98,90,90,278,92.66666666666667,A+
109504,179386,90,91,100,281,93.66666666666667,A+
109751,152881,97,78,99,274,91.33333333333333,A+
109843,47223,95,92,94,281,93.66666666666667,A+
110594,688726,93,100,84,277,92.33333333333333,A+
110857,230505,99,97,98,294,98.0,A+
110867,1023670,81,97,97,275,91.66666666666667,A+
110880,801575,79,97,97,273,91.0,A+
111148,425013,84,100,91,275,91.66666666666667,A+
111176,730235,100,98,96,294,98.0,A+
111280,557732,94,86,96,276,92.0,A+
111433,277069,97,94,80,271,90.33333333333333,A+
111576,976792,91,95,86,272,90.66666666666667,A+
112781,537463,98,97,87,282,94.0,A+
113038,257242,90,100,96,286,95.33333333333333,A+
113040,211722,100,95,91,286,95.33333333333333,A+
113359,494934,81,99,93,273,91.0,A+
113676,123563,84,93,93,270,90.0,A+
113748,527889,81,100,99,280,93.33333333333333,A+
113775,626240,96,100,83,279,93.0,A+
113891,86604,95,95,95,285,95.0,A+
113938,171156,100,93,95,288,96.0,A+
113997,149188,99,84,96,279,93.0,A+
114024,230774,97,88,90,275,91.66666666666667,A+
114043,166337,100,92,85,277,92.33333333333333,A+
114135,917266,76,100,99,275,91.66666666666667,A+
114167,616036,94,92,98,284,94.66666666666667,A+
114185,651321,99,80,100,279,93.0,A+
114220,732149,91,97,88,276,92.0,A+
114435,573341,87,96,91,274,91.33333333333333,A+
114485,1020777,98,90,90,278,92.66666666666667,A+
114513,234926,89,92,98,279,93.0,A+
114556,255566,98,94,82,274,91.33333333333333,A+
114968,437437,91,91,89,271,90.33333333333333,A+
114972,815216,100,74,100,274,91.33333333333333,A+
115233,127819,91,86,97,274,91.33333333333333,A+
115364,321563,100,76,95,271,90.33333333333333,A+
115461,931750,91,87,99,277,92.33333333333333,A+
115491,630031,85,94,91,270,90.0,A+
